Facility UUID,State,LGA,Facility name,Facility group,Functionality,Zone,Facility-connectivity gap value,Intervention,When action is needed,Cost 1 (NGN),Total gaps,Critical gaps,Total facility intervention cost (NGN)
935b5cbc-b0ff-4f03-a4a5-054b166f76b9,Rivers,Asari Toru,Ido Primary Health Centre At,BHCPF,Functional L2,South South,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,8,0,"2,415,333"
6b359d08-b1dc-4774-a58d-3256b5b7c2ea,Lagos,Lagos Mainland,Otto Primary Health Centre,BHCPF,Functional L1,South West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,11,0,"1,739,712"
6f23689e-ece7-440f-85a5-d89f9c51d40c,Kano,Makoda,Jibga Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"2,789,712"
c32c1518-7865-4451-bf10-221f3b2c493d,Kano,Makoda,Makoda Model Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"7,060,333"
b57b83ce-2087-4aca-a404-73009ab2d99e,Kano,Makoda,Durmawa Health Post Makoda,BHCPF,Partially Functional,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"2,789,712"
ce5a0018-f5bc-409d-a802-c5cbf022c28f,Kano,Makoda,Maitsidau Basic Health Clinic,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"2,735,333"
57ecef33-10d5-4966-908a-43e3da32ecff,Kano,Makoda,Dr Wada Waziri Basic Health Clinic,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"2,110,333"
4dee31e8-b2b4-4854-99cd-68f5e9d930c5,Kano,Makoda,Dawan Kaya Health Post,BHCPF,Partially Functional,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,1,"6,677,712"
d9bc7eaf-42f7-44ec-b039-e123e1cf3db3,Kano,Garun Malam,Dorawar Sallau Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"2,913,333"
f07f719a-7f9d-458b-8d4f-afa14f97e930,Kano,Karaye,Turawa Model Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"8,039,712"
abf5632a-9f1b-4fc7-818a-2b8a7a971641,Kano,Danbatta,Kore Model Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"2,808,333"
e718f58f-4d51-4f97-b525-89e84f05b18b,Rivers,Gokana,Bomu Model Primary Health Centre,BHCPF,Functional L2,South South,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,8,0,"1,561,378"
a031bb85-f2bb-4cfb-85d6-44d014356a5d,Kano,Kunchi,Shuwaki Model Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,8,0,"2,197,000"
a89fdf59-f1c7-4688-ae98-8d69a8ec1625,Bauchi,Giade,Zabi Mphc Primary Health Centre,BHCPF,Functional L1,North East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,11,1,"5,477,712"
febe05ca-b87d-448e-92c6-fa0404d7dc7f,Rivers,Ahoada East,Ihuaje Primary Health Centre,BHCPF,Functional L2,South South,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,4,0,"217,000"
0ab1546f-500a-4b30-96ac-75df9935b26d,Anambra,Njikoka,Urunnebo Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,8,0,"2,186,378"
6850baa6-9255-424e-acd9-c3acc6172ff6,Kano,Wudil,Indabo Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"7,124,712"
98b0b6cc-d6bb-499b-8b98-cd338be97e8d,Anambra,Ihiala,Achalla Uzoakjwa Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"2,612,712"
aa71022f-ddd5-40dd-8703-e488a9b8d038,Kano,Dawakin Tofa,Danguguwa Primary Health Centre,BHCPF,Partially Functional,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"2,806,378"
158e051b-11f7-4903-a130-c10df406186f,Rivers,Emohua,Rumuji Comprehensive Health Centre,BHCPF,Functional L2,South South,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,8,0,"3,585,333"
98abf32e-5a82-4d83-b04c-bb3fede3dcf7,Jigawa,Roni,Takwardawa Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"8,337,712"
525e25a9-2ca7-4235-a810-10fcfd56ca9f,Kano,Dawakin Tofa,Dandalama Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"2,406,378"
5f64cff4-b675-4761-a9fa-e18cdd8a37b5,Kano,Dawakin Tofa,Ganduje Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,14,0,"3,919,712"
a394b375-72b0-4d51-9c34-1d5373f354a5,Kano,Tofa,Bugai Model Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,14,0,"8,332,712"
59d7ddfa-7837-4d8f-8ff8-3ff4b1152f42,Anambra,Anaocha,Ukunu Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,6,0,"1,456,378"
d3c65d80-7d39-44ef-945e-f02b976bfd20,Kano,Tsanyawa,Tsanyawa Comprehensive Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,14,0,"2,950,333"
736d27cc-daa9-48ff-b4f2-43d4e83d93fd,Kano,Tsanyawa,Yankamaye Sabon Gari Basic Health Clinic,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"3,312,712"
9f9b3fc1-9dd0-4415-9453-814e606a820b,Adamawa,Yola South,Ardo Yahaya Primary Health Centre,BHCPF,Functional L1,North East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"6,667,712"
6798a2fb-60f1-44b7-9b3a-3430ef66a251,Jigawa,Miga,Takalafiya Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,7,0,"605,333"
25efdb78-2edc-4e60-b357-27ef5ba75dd1,Jigawa,Miga,Koya Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"2,637,000"
175db93c-4fd4-4ec3-ae19-0ee60fc3634a,Anambra,Anaocha,Adazi Nnukwu 2 Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,14,0,"6,605,000"
3287f387-9f99-454d-9973-0b27ce754c34,Jigawa,Gwaram,Kila Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"1,680,333"
abd9eeb9-2f10-4dff-8d1b-9f71c971df00,Kano,Dawakin Tofa,Dawaki Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"3,224,378"
557441b2-eb1b-495d-b265-900697cc90b6,Anambra,Orumba South,Lomu Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,11,1,"5,933,333"
7112847b-1662-4e9c-8a38-d313062aea1b,Kano,Garun Malam,Yanaba Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,14,0,"7,512,712"
6b6f67ad-02cf-4504-8884-3448a7a71ac3,Kano,Garun Malam,Garun Babba Primary Health Centre,BHCPF,Partially Functional,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"2,995,333"
96ddca97-8a68-4914-a31e-4e1446acc885,Kano,Rimin Gado,Butu Butu Model Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"2,954,712"
b4528a8b-73fb-4440-acab-82c8da257b36,Kano,Garun Malam,Garun Malan Basic Health Clinic,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"7,124,712"
fbe76560-d747-4d50-b0b0-a358cc5f54c3,Anambra,Orumba South,Umunebo Ogbunka Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,7,0,"1,064,378"
e2aa0af9-c969-4924-8309-7b01f7b85dfe,Anambra,Orumba South,Ogbunka Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,6,0,"2,204,378"
