Facility UUID,State,LGA,Facility name,Gap area,Gap condition,Intervention,When action is needed
d25acb82-e715-4332-a882-77fd3aa55ec6,anambra,orumba_south,umunze_maternal_and_child_health,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
a5e76f93-0127-41dd-b113-2c3bc2f072b2,anambra,awka_south,isiakpu_health_post,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
f62188b3-ab16-4eb9-a1a7-fe0b4c1b601a,akwa_ibom,eastern_obolo,emereoko_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
76745ded-51f8-49bc-8a8a-b1faf49cd81b,akwa_ibom,eastern_obolo,amauka_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
ef9a86ca-0168-48af-bed5-7179e3bc9e78,akwa_ibom,eastern_obolo,amadaka_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
a5a00834-529a-4e6b-a25e-9430828de07e,akwa_ibom,ibeno,itak_abasi_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
9f4141f8-18c6-4ae0-8452-027375207d64,akwa_ibom,ibeno,ndito_eka_iba_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
d81aa8cd-fb0e-4933-a0fd-51e76b8c58e3,akwa_ibom,ibeno,atia_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
0556170a-7bc7-4f43-a9bb-c78406e0ff8c,rivers,degema,bukuma_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
2baae274-561e-4ef4-a9e7-5bf8eed5b758,akwa_ibom,ibeno,opolom_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
7fc028b3-cd95-4e17-a4f1-a61651408124,rivers,akuku_toru,kula_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
b0524271-695d-4d95-999d-ba7e17357a25,lagos,epe,owu_primary_health_centre_epe,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
78a20b2d-fd3c-456e-a08f-9b8ef0f6a30e,rivers,degema,bakana_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
e09b97b8-9af1-49cd-b6c6-ee43dfce23c7,imo,nkwerre,amaopara_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
769c0607-1375-45ce-a4b9-3200c932f256,lagos,ibeju_lekki,apakin_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
613ba525-9c32-482d-9404-c6495a57ddc0,lagos,ibeju_lekki,lekki_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
935b5cbc-b0ff-4f03-a4a5-054b166f76b9,rivers,asari_toru,ido_primary_health_centre_at,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
844c9070-7da0-45b6-a477-4cdcc080476a,lagos,ibeju_lekki,orimedu_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
09f40cd2-71d8-4b19-bd87-c585d251eb8a,rivers,asari_toru,ifoko_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
99c8d4dc-d37f-4d79-925e-81f7176ee7e0,kano,dawakin_tofa,tumfafi_health_clinic,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
708f63ab-cac6-430b-b819-78958a1ee498,rivers,asari_toru,minama_new_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
a6a0c6ab-2ad0-4617-876e-b376d4074e75,rivers,asari_toru,angulama_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
268222d6-85f2-4a28-b18b-b81cfd5881bc,imo,isu,maternal_and_child_health,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
9157f416-05be-44ef-8fa9-29e43c2ccc69,imo,isu,isu_obishi_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
f8b10262-6116-4500-a366-c6deb7884ddf,niger,bosso,tasabo_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
0de640bf-2283-4244-a26b-39bb85b7677f,anambra,oyi,ifite_ogbunike_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
c2a159e0-ef4e-44fa-8d8f-6829b56cd6c2,rivers,asari_toru,buguma_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
8da7256c-7fc6-43bc-86eb-28571e9aff19,bauchi,misau,shelon_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
7e8fa72b-1dbb-4d64-9b26-7d47dc6e0217,rivers,akuku_toru,abonnema_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
2fead5d6-1003-411b-854f-f91986ea5a20,rivers,akuku_toru,obonoma_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
134acd69-0a98-46b2-9e5c-fe67e0d8fcd1,akwa_ibom,itu,nkim_itam_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
08579883-ae6d-4565-9c26-83f881ef0ab9,rivers,degema,degema_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
bef5407d-eff0-4a63-a48f-06871ee37145,rivers,degema,usokun_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
4055aae2-8ca2-402d-8859-660a3f8a3fe8,rivers,degema,obuama_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
70eaa876-26f9-4197-bec7-834f4617e497,rivers,degema,bille_primary_health_centre_degema,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
42b0b7b3-c80e-47ed-9445-fd829dc32d15,akwa_ibom,ukanafun,idung_nneke_health_post,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
d79deb4f-bb84-4a9e-8a59-392d5a804793,akwa_ibom,ukanafun,ikot_udo_ossiom_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
2decd200-a1ed-42e0-991c-2e2a7ffcb511,akwa_ibom,ukanafun,ikot_unah_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
b2862d74-c5f3-41d3-88c2-da6704cdc6e5,akwa_ibom,ukanafun,ikot_idiong_health_post,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
9f92983d-460f-4882-8f93-61c4a651f344,bauchi,tafawa_balewa,kundum_primary_health_centre_tb,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
6f539e88-71b7-4d58-a94e-1d0dd8e83dbe,kano,danbatta,women_center_clinic,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
f8ca49e4-31dc-46f2-ab6a-ce763fd24a73,imo,ngor_okpala,nguru_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
