facility_uuid,state,lga,facility,gap_area,action,when_action_is_needed,cost_ngn
f62188b3-ab16-4eb9-a1a7-fe0b4c1b601a,akwa_ibom,eastern_obolo,emereoko_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
a5a00834-529a-4e6b-a25e-9430828de07e,akwa_ibom,ibeno,itak_abasi_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
9f4141f8-18c6-4ae0-8452-027375207d64,akwa_ibom,ibeno,ndito_eka_iba_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
7fc028b3-cd95-4e17-a4f1-a61651408124,rivers,akuku_toru,kula_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
3b34a5ce-1aef-4099-86b9-55c09ca02d40,niger,rijau,ruth_j_ayuba_primary_health_centre,Wiring,Install 4 socket points,Minor action to complete during EMR deployment,12000
b0524271-695d-4d95-999d-ba7e17357a25,lagos,epe,owu_primary_health_centre_epe,Physical service-point,Procure 1 patient chair,Minor action to complete during EMR deployment,25000
769c0607-1375-45ce-a4b9-3200c932f256,lagos,ibeju_lekki,apakin_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
613ba525-9c32-482d-9404-c6495a57ddc0,lagos,ibeju_lekki,lekki_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
134acd69-0a98-46b2-9e5c-fe67e0d8fcd1,akwa_ibom,itu,nkim_itam_health_centre,Wiring,Install 3 socket points,Minor action to complete during EMR deployment,9000
f8ca49e4-31dc-46f2-ab6a-ce763fd24a73,imo,ngor_okpala,nguru_health_centre,Physical service-point,Procure 1 desk,Minor action to complete during EMR deployment,35000
2c38d098-5e6d-4ef7-ad4b-1064105a640f,lagos,ojo,imude_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
7e9e5de2-6bea-4f28-aaf8-6c2c0b6ec45f,lagos,surulere,coker_aguda_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
0b1ea5e5-7608-47d8-8502-5a8012f0cc67,lagos,mushin,itire_ijesha_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
8e7decfa-3b97-41bf-8598-f4ebff0ae480,rivers,obioakpor,elelenwo_fsp,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
