Facility UUID,State,LGA,Facility name,Facility group,Functionality,Zone,Facility-connectivity gap value,Intervention,When action is needed,Cost 1 (NGN),Total gaps,Critical gaps,Total facility intervention cost (NGN)
b0524271-695d-4d95-999d-ba7e17357a25,Lagos,Epe,Owu Primary Health Centre Epe,Non-BHCPF,Partially Functional,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"7,270,000"
134acd69-0a98-46b2-9e5c-fe67e0d8fcd1,Akwa Ibom,Itu,Nkim Itam Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),11,1,"8,381,378"
56733ac1-a6c0-4011-8b77-8e7a5cfe216e,Anambra,Nnewi South,Ezinifite Primary Health Centre,BHCPF,Functional L1,South East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,2,"6,714,378"
2c38d098-5e6d-4ef7-ad4b-1064105a640f,Lagos,Ojo,Imude Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"7,498,333"
3084b06d-161e-40b0-bb8b-62107417535b,Lagos,Ojo,Kemberi Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"7,498,333"
997dad3c-e809-4ee9-8513-73f8e2aa016f,Lagos,Ojo,Okokomaiko Primary Health Centre,BHCPF,Functional L2,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),9,1,"6,290,333"
02dfdabb-8f36-44bd-acdd-3bb96726fdf7,Lagos,Mushin,Igbo Owu Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"7,244,378"
0b1ea5e5-7608-47d8-8502-5a8012f0cc67,Lagos,Mushin,Itire Ijesha Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"6,394,712"
c0e73c62-7a15-4086-8a46-7467387f9371,Lagos,Eti Osa,Igbo Efon Primary Health Centre,Non-BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),7,1,"1,665,333"
84ffdf5f-bcaf-44cd-a2b4-3f04ec20abbd,Lagos,Ojo,Ira Health Post,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"6,732,712"
f29d8b59-b20e-4698-8cac-1c47a87010b3,Rivers,Eleme,Eteo Primary Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"2,056,378"
