facility_uuid,state,lga,facility,service_point_gap
a5e76f93-0127-41dd-b113-2c3bc2f072b2,anambra,awka_south,isiakpu_health_post,1%–49% of applicable service points meet all minimum conditions
0de640bf-2283-4244-a26b-39bb85b7677f,anambra,oyi,ifite_ogbunike_primary_health_centre,0% of applicable service points meet all minimum conditions
63cc6764-e23c-4f39-8222-c64561eac3ec,rivers,abuaodual,otapha_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
1f12d336-dc60-4bbb-8c3e-50beed8bebd4,rivers,obioakpor,rumuodumaya_primary_health_centre,0% of applicable service points meet all minimum conditions
d6908089-0b11-42ee-b4ba-0afd6dfb3704,lagos,eti_osa,okunmopo_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
0649cf7b-7765-4c3b-b58c-98184eda2348,lagos,eti_osa,badore_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
bf4cb997-97f9-44a3-a0c1-608d4ae3f25b,lagos,mushin,coker_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
387f47f1-ab1d-48e5-916d-d57854bb7f4c,lagos,amuwo_odofin,kirikiri_health_post,0% of applicable service points meet all minimum conditions
df63ddf1-b890-4980-bc3f-da7e405bc996,rivers,obioakpor,ozuoba_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
29c59a6c-b662-4f57-99c8-19fb280b460b,lagos,ikeja,onilekere_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
6a52d3ce-a363-44bb-8aa9-1d43e392be6a,imo,oguta,awa_primary_health_centre,0% of applicable service points meet all minimum conditions
10d972bd-a630-4240-877e-aaa3ab830922,lagos,ikorodu,ewu_elepe_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
a5dbeef6-d682-4b75-8a7b-05e078dfe2de,rivers,khana,luebe_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
17eced9c-1b4d-485d-94cc-916088b69c80,rivers,khana,uegwerebo_ue_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
1ff0ee04-4c08-440f-9ca1-6fcdf42394fb,akwa_ibom,ibeno,okoroutip_health_centre,50%–74% of applicable service points meet all minimum conditions
053f429c-d92d-428a-8ea4-201bcd754d59,akwa_ibom,ibesikpoasutan,nung_udoe_operational_base_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
dfba78ad-2326-48dd-8b94-0c206867878d,lagos,lagos_island,sura_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
e7d31b49-a418-45e8-b1a8-d57339c7e406,lagos,ibeju_lekki,ibeju_primary_health_centre,0% of applicable service points meet all minimum conditions
b8683068-32ee-4f28-a9dc-ab82159ab953,kano,rano,tabobi_health_post,0% of applicable service points meet all minimum conditions
