facility_uuid,state,lga,facility,domains_with_a_major_gap
df5dc985-21c5-4b45-a877-8e704e16c532,rivers,obioakpor,rumuokwurushi_primary_health_centre,Workflow and Transition
f2745e58-51ff-46d6-88ed-7ff61781c471,rivers,obioakpor,rumueme_primary_health_centre,Workflow and Transition
acb50ed9-f268-478e-af17-ccdff490f26c,rivers,obioakpor,obio_cottage_hospital,Workflow and Transition
2a31d848-cc78-40ed-86fb-11b0d3404a93,rivers,eleme,agbonchia_primary_health_centre,Workforce Capacity; Workflow and Transition
3e5e7331-e85d-4a7d-a7ec-e320d9c0dcb2,lagos,mushin,ajeabo_primary_health_centre,Workforce Capacity
6b359d08-b1dc-4774-a58d-3256b5b7c2ea,lagos,lagos_mainland,otto_primary_health_centre,Workforce Capacity; Data Use and Reporting
809e94a1-3ef2-4ea5-ac2b-cd034982e9a4,lagos,ajeromi_ifelodun,ibafon_primary_health_centre,Workforce Capacity
df63ddf1-b890-4980-bc3f-da7e405bc996,rivers,obioakpor,ozuoba_primary_health_centre,Workflow and Transition; Data Use and Reporting
c5907b84-e074-4bcf-8307-4a435944cdc4,lagos,lagos_mainland,iwaya_primary_health_centre,Workflow and Transition
cd20c937-608c-446e-af91-6a0236126ebb,lagos,ikeja,akiode_primary_health_centre,Workforce Capacity
d4cd11cf-5381-4df0-80c0-bcd278b1f59d,lagos,ifako_ijaiye,ifako_primary_health_centre,Workforce Capacity
002894ea-aa16-4ad2-b02f-d96476fa917b,lagos,mushin,isolo_raod_primary_health_centre,Workforce Capacity
b884fb75-d907-4863-8307-7d477365bac8,anambra,onitsha_north,st_theresa_s_church_primary_health_centre,Workforce Capacity
8401698c-65e6-477d-b324-287db69782a7,rivers,obioakpor,rumuepirikom_primary_health_centre,Workflow and Transition; Data Use and Reporting
b57b83ce-2087-4aca-a404-73009ab2d99e,kano,makoda,durmawa_health_post_makoda,Workforce Capacity
ce5a0018-f5bc-409d-a802-c5cbf022c28f,kano,makoda,maitsidau_basic_health_clinic,Workforce Capacity
