facility_uuid,state,lga,facility,package,workbook_readiness,dashboard_readiness,power_fix,connectivity_fix
d25acb82-e715-4332-a882-77fd3aa55ec6,anambra,orumba_south,umunze_maternal_and_child_health,Full solar system only,Not ready,Ready,Full solar system,
a5e76f93-0127-41dd-b113-2c3bc2f072b2,anambra,awka_south,isiakpu_health_post,Full solar system only,Not ready,Moderately ready,,Router
f62188b3-ab16-4eb9-a1a7-fe0b4c1b601a,akwa_ibom,eastern_obolo,emereoko_health_centre,Full solar system only,Not ready,Moderately ready,,Router
76745ded-51f8-49bc-8a8a-b1faf49cd81b,akwa_ibom,eastern_obolo,amauka_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
e8ada84b-3ad4-44dd-a228-70528a2d5d59,akwa_ibom,eastern_obolo,elekpon_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
ef9a86ca-0168-48af-bed5-7179e3bc9e78,akwa_ibom,eastern_obolo,amadaka_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
a5a00834-529a-4e6b-a25e-9430828de07e,akwa_ibom,ibeno,itak_abasi_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
a5a00834-529a-4e6b-a25e-9430828de07e,akwa_ibom,ibeno,itak_abasi_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
9f4141f8-18c6-4ae0-8452-027375207d64,akwa_ibom,ibeno,ndito_eka_iba_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
d81aa8cd-fb0e-4933-a0fd-51e76b8c58e3,akwa_ibom,ibeno,atia_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
2baae274-561e-4ef4-a9e7-5bf8eed5b758,akwa_ibom,ibeno,opolom_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
3b34a5ce-1aef-4099-86b9-55c09ca02d40,niger,rijau,ruth_j_ayuba_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
b0524271-695d-4d95-999d-ba7e17357a25,lagos,epe,owu_primary_health_centre_epe,Router only,Ready,Moderately ready,Full solar system,Router
b0524271-695d-4d95-999d-ba7e17357a25,lagos,epe,owu_primary_health_centre_epe,Full solar system only,Not ready,Moderately ready,Full solar system,Router
78a20b2d-fd3c-456e-a08f-9b8ef0f6a30e,rivers,degema,bakana_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
e09b97b8-9af1-49cd-b6c6-ee43dfce23c7,imo,nkwerre,amaopara_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
e09b97b8-9af1-49cd-b6c6-ee43dfce23c7,imo,nkwerre,amaopara_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
daad50d1-c779-44b7-b2b8-24bb33babe06,kano,kiru,badafi_health_post,Full solar system only,Not ready,Moderately ready,,Router
844c9070-7da0-45b6-a477-4cdcc080476a,lagos,ibeju_lekki,orimedu_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
09f40cd2-71d8-4b19-bd87-c585d251eb8a,rivers,asari_toru,ifoko_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
99c8d4dc-d37f-4d79-925e-81f7176ee7e0,kano,dawakin_tofa,tumfafi_health_clinic,Full solar system only,Not ready,Moderately ready,Full solar system,Router
a6a0c6ab-2ad0-4617-876e-b376d4074e75,rivers,asari_toru,angulama_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
a6a0c6ab-2ad0-4617-876e-b376d4074e75,rivers,asari_toru,angulama_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
268222d6-85f2-4a28-b18b-b81cfd5881bc,imo,isu,maternal_and_child_health,Router only,Ready,Moderately ready,Full solar system,
268222d6-85f2-4a28-b18b-b81cfd5881bc,imo,isu,maternal_and_child_health,Full solar system only,Not ready,Ready,Full solar system,
9157f416-05be-44ef-8fa9-29e43c2ccc69,imo,isu,isu_obishi_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
9157f416-05be-44ef-8fa9-29e43c2ccc69,imo,isu,isu_obishi_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
0de640bf-2283-4244-a26b-39bb85b7677f,anambra,oyi,ifite_ogbunike_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
7e8fa72b-1dbb-4d64-9b26-7d47dc6e0217,rivers,akuku_toru,abonnema_primary_health_centre,Full solar system only,Not ready,Moderately ready,,FibreX
2fead5d6-1003-411b-854f-f91986ea5a20,rivers,akuku_toru,obonoma_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,FibreX
08579883-ae6d-4565-9c26-83f881ef0ab9,rivers,degema,degema_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
bef5407d-eff0-4a63-a48f-06871ee37145,rivers,degema,usokun_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
42b0b7b3-c80e-47ed-9445-fd829dc32d15,akwa_ibom,ukanafun,idung_nneke_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
d79deb4f-bb84-4a9e-8a59-392d5a804793,akwa_ibom,ukanafun,ikot_udo_ossiom_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
d79deb4f-bb84-4a9e-8a59-392d5a804793,akwa_ibom,ukanafun,ikot_udo_ossiom_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
2decd200-a1ed-42e0-991c-2e2a7ffcb511,akwa_ibom,ukanafun,ikot_unah_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
2decd200-a1ed-42e0-991c-2e2a7ffcb511,akwa_ibom,ukanafun,ikot_unah_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
b2862d74-c5f3-41d3-88c2-da6704cdc6e5,akwa_ibom,ukanafun,ikot_idiong_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
9f92983d-460f-4882-8f93-61c4a651f344,bauchi,tafawa_balewa,kundum_primary_health_centre_tb,Full solar system only,Not ready,Moderately ready,,Router
6f539e88-71b7-4d58-a94e-1d0dd8e83dbe,kano,danbatta,women_center_clinic,Full solar system only,Not ready,Moderately ready,,Router
f8ca49e4-31dc-46f2-ab6a-ce763fd24a73,imo,ngor_okpala,nguru_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
f8ca49e4-31dc-46f2-ab6a-ce763fd24a73,imo,ngor_okpala,nguru_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
56733ac1-a6c0-4011-8b77-8e7a5cfe216e,anambra,nnewi_south,ezinifite_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
df5dc985-21c5-4b45-a877-8e704e16c532,rivers,obioakpor,rumuokwurushi_primary_health_centre,Full solar system only,Not ready,Ready,,
2c38d098-5e6d-4ef7-ad4b-1064105a640f,lagos,ojo,imude_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
2c38d098-5e6d-4ef7-ad4b-1064105a640f,lagos,ojo,imude_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
3084b06d-161e-40b0-bb8b-62107417535b,lagos,ojo,kemberi_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
3084b06d-161e-40b0-bb8b-62107417535b,lagos,ojo,kemberi_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
997dad3c-e809-4ee9-8513-73f8e2aa016f,lagos,ojo,okokomaiko_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
997dad3c-e809-4ee9-8513-73f8e2aa016f,lagos,ojo,okokomaiko_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
63cc6764-e23c-4f39-8222-c64561eac3ec,rivers,abuaodual,otapha_primary_health_centre,Router only,Ready,Moderately ready,Solar top-up,Router
57fa2bc7-e921-4640-940d-005835245ee9,rivers,ogbaegbemandoni,aggah_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
7e9e5de2-6bea-4f28-aaf8-6c2c0b6ec45f,lagos,surulere,coker_aguda_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
f57b0706-e80d-4c83-9368-a6c17e04cb08,lagos,surulere,airways_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
f2745e58-51ff-46d6-88ed-7ff61781c471,rivers,obioakpor,rumueme_primary_health_centre,Full solar system only,Not ready,Ready,,
1f12d336-dc60-4bbb-8c3e-50beed8bebd4,rivers,obioakpor,rumuodumaya_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
b4955c33-c499-4abd-9dfa-4dd53e2ed48b,lagos,ifako_ijaiye,ilo_ajegunle_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
b4955c33-c499-4abd-9dfa-4dd53e2ed48b,lagos,ifako_ijaiye,ilo_ajegunle_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
02dfdabb-8f36-44bd-acdd-3bb96726fdf7,lagos,mushin,igbo_owu_health_centre,FibreX only,Ready,Moderately ready,,Router
02dfdabb-8f36-44bd-acdd-3bb96726fdf7,lagos,mushin,igbo_owu_health_centre,Full solar system only,Not ready,Moderately ready,,Router
0b1ea5e5-7608-47d8-8502-5a8012f0cc67,lagos,mushin,itire_ijesha_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
0b1ea5e5-7608-47d8-8502-5a8012f0cc67,lagos,mushin,itire_ijesha_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
f1953309-83d8-4f80-bb2f-78240615678e,lagos,ifako_ijaiye,ojokoro_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
108187db-584a-4379-b012-7d57d1843704,lagos,ifako_ijaiye,isokan_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
c0e73c62-7a15-4086-8a46-7467387f9371,lagos,eti_osa,igbo_efon_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
c0e73c62-7a15-4086-8a46-7467387f9371,lagos,eti_osa,igbo_efon_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
1dfda948-fb73-4be6-b298-4b254cad648f,niger,gbako,koma_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
84ffdf5f-bcaf-44cd-a2b4-3f04ec20abbd,lagos,ojo,ira_health_post,Router only,Ready,Moderately ready,Full solar system,Router
84ffdf5f-bcaf-44cd-a2b4-3f04ec20abbd,lagos,ojo,ira_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
acb50ed9-f268-478e-af17-ccdff490f26c,rivers,obioakpor,obio_cottage_hospital,Full solar system only,Not ready,Ready,,
8e7decfa-3b97-41bf-8598-f4ebff0ae480,rivers,obioakpor,elelenwo_fsp,Full solar system only,Not ready,Moderately ready,,FibreX
f29d8b59-b20e-4698-8cac-1c47a87010b3,rivers,eleme,eteo_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
f29d8b59-b20e-4698-8cac-1c47a87010b3,rivers,eleme,eteo_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
2a31d848-cc78-40ed-86fb-11b0d3404a93,rivers,eleme,agbonchia_primary_health_centre,Full solar system only,Not ready,Ready,,
bc56ffb9-b081-41c5-b23e-23b58bb08fbc,rivers,obioakpor,iriebe_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
3e5e7331-e85d-4a7d-a7ec-e320d9c0dcb2,lagos,mushin,ajeabo_primary_health_centre,Full solar system only,Not ready,Ready,,
df98311b-94a2-4c8e-8d64-1d68d279d864,lagos,mushin,anikulapo_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
df98311b-94a2-4c8e-8d64-1d68d279d864,lagos,mushin,anikulapo_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
bf4cb997-97f9-44a3-a0c1-608d4ae3f25b,lagos,mushin,coker_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
bf4cb997-97f9-44a3-a0c1-608d4ae3f25b,lagos,mushin,coker_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
cd4d7dbf-8f7e-4ad4-843e-2e8e54d7ffc8,lagos,ajeromi_ifelodun,oridilu_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
099ad962-dda7-43e0-8926-f45ba222d5a8,imo,obowo,achara_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
a4c113e5-e845-402e-bbf4-a65099e964a7,lagos,amuwo_odofin,bola_ahmed_tinubu_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
a4c113e5-e845-402e-bbf4-a65099e964a7,lagos,amuwo_odofin,bola_ahmed_tinubu_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
b6df695e-f10d-4f22-ae53-64301e26fcde,lagos,oshodi,ajao_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
0c2d6c0f-acc4-47af-9108-a0868a634d20,lagos,surulere,baruwa_primary_health_centre_surulere,Full solar system only,Not ready,Moderately ready,,Router
27e65b2c-5459-47bd-883e-1e6c6fb489de,lagos,surulere,anjorin_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
52b9f360-0b37-4c73-87ad-176736cc2ace,lagos,oshodi,mafoluku_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
6b359d08-b1dc-4774-a58d-3256b5b7c2ea,lagos,lagos_mainland,otto_primary_health_centre,Full solar system only,Not ready,Ready,,
197f43c9-fd98-47b6-85eb-eed35fb05a49,lagos,oshodi,ewutuntun_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
5698627f-a0e7-4301-8811-b3113ed3af9f,lagos,lagos_mainland,aiyetoro_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
5698627f-a0e7-4301-8811-b3113ed3af9f,lagos,lagos_mainland,aiyetoro_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
4114c176-5fca-40ae-ad1e-a69940dcec8b,lagos,oshodi,shogunle_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
387f47f1-ab1d-48e5-916d-d57854bb7f4c,lagos,amuwo_odofin,kirikiri_health_post,FibreX only,Ready,Moderately ready,,Router
387f47f1-ab1d-48e5-916d-d57854bb7f4c,lagos,amuwo_odofin,kirikiri_health_post,Full solar system only,Not ready,Moderately ready,,Router
7fdf0ee9-8f94-4446-9c40-c7c6a07af86a,lagos,lagos_mainland,otumara_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
7fdf0ee9-8f94-4446-9c40-c7c6a07af86a,lagos,lagos_mainland,otumara_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
6690f033-948c-4a4f-b8bb-d71a6c735b18,lagos,ikeja,bola_ahmed_tinubu_former_alade_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
1a94cdb7-c783-461c-8f19-9e09f98a44c7,lagos,amuwo_odofin,mile_2_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
1a94cdb7-c783-461c-8f19-9e09f98a44c7,lagos,amuwo_odofin,mile_2_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
54ae7916-be3b-4e03-a2bd-bd1c3ab38883,imo,obowo,ehume_health_clinic,Router only,Ready,Moderately ready,Full solar system,Router
54ae7916-be3b-4e03-a2bd-bd1c3ab38883,imo,obowo,ehume_health_clinic,Full solar system only,Not ready,Moderately ready,Full solar system,Router
9cc7485c-ca03-4535-8582-b7c384ca622e,imo,obowo,umunachi_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
66123277-1f66-44bc-98d3-37b1af602525,imo,obowo,umungwa_health_clinic,Full solar system only,Not ready,Moderately ready,Full solar system,Router
26503471-b263-45b9-bce2-4a31822cde13,lagos,shomolu,eva_adelaja_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
35353514-7f56-4cc6-96d7-5ef7154151fb,lagos,shomolu,ashogbon_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
35353514-7f56-4cc6-96d7-5ef7154151fb,lagos,shomolu,ashogbon_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
13e27150-6b5b-4571-b5cb-e95c14cabee6,imo,obowo,umuokeh_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
13e27150-6b5b-4571-b5cb-e95c14cabee6,imo,obowo,umuokeh_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
c3280719-32e6-4544-a879-92e564c12ab3,imo,obowo,nysc_achingali_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
809e94a1-3ef2-4ea5-ac2b-cd034982e9a4,lagos,ajeromi_ifelodun,ibafon_primary_health_centre,Full solar system only,Not ready,Ready,,
be9fd872-a809-4161-8d9c-00801e6b509f,lagos,ajeromi_ifelodun,tolu_primary_health_centre,Full solar system only,Not ready,Moderately ready,,FibreX
c72b8b70-a091-4f5e-8a0a-93ab94850534,lagos,ajeromi_ifelodun,amukoko_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
257bf190-1084-4045-855b-fa6434c3a0c5,lagos,ajeromi_ifelodun,layeni_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,FibreX
92c7881f-0a89-4e05-aab2-bfcd26abb380,lagos,alimosho,baruwa_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
92c7881f-0a89-4e05-aab2-bfcd26abb380,lagos,alimosho,baruwa_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
